,League,Club,Banning Orders
0,League Two,Wycombe Wanderers,0
1,League Two,Accrington Stanley,0
2,League One,Burton Albion,0
3,Championship,Milton Keynes Dons,0
4,League Two,Notts County,1
5,League Two,Barnet,1
6,Premier League,Norwich City,1
7,League Two,Yeovil Town,1
8,League Two,Crawley Town,2
9,Premier League,AFC Bournemouth,3
10,League Two,Stevenage,3
11,League Two,Northampton Town,3
12,League Two,Morecambe,3
13,League Two,Dagenham & Redbridge,3
14,League One,Fleetwood Town,3
15,League One,Colchester United,4
16,League Two,York City,4
17,League One,Wigan Athletic,5
18,League One,Gillingham,5
19,Championship,Ipswich Town,5
20,Championship,Fulham,5
21,Championship,Preston North End,6
22,League One,Rochdale,6
23,League One,Bury,6
24,League Two,Leyton Orient,6
25,League Two,AFC Wimbledon,7
26,League Two,Oxford United,8
27,Championship,Brighton & Hove Albion,9
28,League Two,Mansfield Town,9
29,League Two,Newport County,10
30,League Two,Exeter City,10
31,League One,Oldham Athletic,11
32,Premier League,Watford,11
33,League Two,Cambridge United,12
34,Premier League,Swansea City,12
35,League One,Swindon Town,13
36,League One,Southend United,13
37,Championship,Hull City,14
38,Premier League,Southampton,15
39,League Two,Carlisle United,15
40,League Two,Portsmouth,15
41,League One,Blackpool,15
42,Championship,Reading,15
43,Championship,Queens Park Rangers,15
44,League One,Crewe Alexandra,17
45,Championship,Brentford,17
46,League One,Peterborough United,18
47,Championship,Huddersfield Town,18
48,Premier League,Stoke City,18
49,Premier League,Leicester City,18
50,League One,Port Vale,19
51,Championship,Bolton Wanderers,20
52,League One,Bradford City,20
53,Championship,Rotherham United,20
54,Premier League,West Bromwich Albion,21
55,Premier League,Everton,22
56,League One,Chesterfield,22
57,League One,Shrewsbury Town,22
58,League One,Scunthorpe United,23
59,League One,Doncaster Rovers,23
60,Premier League,Crystal Palace,24
61,League Two,Hartlepool United,25
62,League One,Walsall,25
63,Championship,Blackburn Rovers,25
64,League One,Coventry City,25
65,Championship,Middlesbrough,26
66,League One,Barnsley,26
67,Championship,Charlton Athletic,26
68,Premier League,Manchester City,27
69,League Two,Luton Town,28
70,Premier League,Aston Villa,29
71,Championship,Sheffield Wednesday,29
72,Championship,Derby County,29
73,Premier League,Arsenal,30
74,Championship,Birmingham City,31
75,Championship,Nottingham Forest,32
76,Premier League,Tottenham Hotspur,34
77,Premier League,Sunderland,37
78,League Two,Plymouth Argyle,37
79,Premier League,Manchester United,38
80,League One,Sheffield United,39
81,Championship,Bristol City,42
82,Championship,Cardiff City,44
83,Premier League,West Ham United,44
84,Championship,Leeds United,47
85,League Two,Bristol Rovers,47
86,Championship,Burnley,48
87,Premier League,Liverpool,49
88,Championship,Wolverhampton Wanderers,52
89,League One,Millwall,57
90,Premier League,Chelsea,60
91,Premier League,Newcastle United,124
