,Country,Children,Adults,Pensioners,Male,Female
0,North East,524417.0,1601007.0,499197.0,1287177,1337444
1,North West,1521365.0,4351005.0,1301465.0,3534396,3639439
2,Yorkshire and The Humber,1145643.0,3271192.0,973741.0,2658411,2732165
3,East Midlands,971538.0,2827943.0,877557.0,2309197,2367841
4,West Midlands,1261883.0,3443312.0,1045805.0,2844758,2906242
5,East of England,1299984.0,3612599.0,1163868.0,2993366,3083085
6,London,1952870.0,5719477.0,1001366.0,4309512,4364201
7,South East,1918075.0,5350219.0,1679619.0,4404373,4543540
8,South West,1082081.0,3220145.0,1168954.0,2688096,2783084
9,Wales,627888.0,1846425.0,624773.0,1525561,1573525
10,Northern Ireland,434033.0,1125764.0,291824.0,909129,942492
11,Scotland,1031096.0,3358906.0,982998.0,2610469,2762531
